firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,tot_white,tot_black,tot_api,tot_aian,tot_2prace,tot_hispanic,white_pct,black_pct,api_pct,aian_pct,mult_pct,hisp_pct
ALESHA,36,0.02778,0.8055599999999999,0.16667,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3225605473706702e-5,5.357899807045367e-5,0,0,0,5.460364193482716e-6
ALESIA,49,0.06122,0.61224,0.32653,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3681475897577373e-5,1.428742028088299e-4,0,0,0,1.6378581013844473e-5
ALESSANDRA,34,0.08824,0.91176,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.4137565226813645e-5,0,0,0,0,1.6380655786256203e-5
ALESSANDRO,46,0.04348,0.8913,0.02174,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.869807543478657e-5,8.93001160483065e-6,0,0,0,1.0920291592773487e-5
ALETA,49,0.020409999999999998,0.8979600000000001,0.08163000000000001,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.006634342249539e-5,3.5717456819541196e-5,0,0,0,5.460418792756708e-6
ALEX,1371,0.18963999999999998,0.6440600000000001,0.03136,0.00219,0.00219,0.00292,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.026975170334676e-4,3.839265626820804e-4,6.781966811033255e-4,6.781966811033255e-4,9.689850875530279e-4,0.001419561686474059
ALEXA,78,0.02564,0.94872,0.02564,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.374798349909696e-5,1.7858594464954314e-5,0,0,0,1.0919418004389601e-5
ALEXANDER,2247,0.08678000000000001,0.8153100000000001,0.02759,0.00134,0.00134,0.00267,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.354895280588547e-4,5.535915146777557e-4,6.801143860157705e-4,6.801143860157705e-4,0.0014521488022250322,0.0010646566868493883
ALEXANDR,18,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.208951210156104e-6,0,0,0,0,0
ALEXANDRA,504,0.10714,0.85516,0.011899999999999999,0.00198,0.00198,0.0039700000000000004,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9655906807255867e-4,5.355649534131865e-5,2.254082551504353e-4,2.254082551504353e-4,4.8430374838461654e-4,2.948282172662467e-4
ALEXANDRE,80,0.1,0.8375,0.025,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.055554061558106e-5,1.785930883730781e-5,0,0,0,4.3679419194326176e-5
ALEXANDRIA,92,0.07609,0.84783,0.02174,0.01087,0.01087,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.557228608970066e-5,1.78600232096613e-5,2.2588711668334268e-4,2.2588711668334268e-4,0,3.8221020574707206e-5
ALEXANDRU,31,0.06452,0.93548,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3225477778910102e-5,0,0,0,0,1.0920509989869458e-5
ALEXEI,30,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3681585350260174e-5,0,0,0,0,0
ALEXEY,21,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,9.577109745182123e-6,0,0,0,0,0
ALEXIA,38,0,0.86842,0.10525999999999999,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.5049725643172392e-5,3.5717546116085375e-5,0,0,0,0
ALEXIS,452,0.14159,0.77655,0.05088,0,0,0.00221,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.6007482222975104e-4,2.05362049203142e-4,0,0,2.417839652234822e-4,3.4942814645044237e-4
ALF,15,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.840792675130087e-6,0,0,0,0,0
ALFONSO,482,0.78216,0.13071,0.039420000000000004,0,0,0.00207,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.8732341672862283e-5,1.696673630023684e-4,0,0,2.4149835168189352e-4,0.002058398744651308
ALFRED,1237,0.10186,0.7582899999999999,0.09054000000000001,8.100000000000001e-4,8.100000000000001e-4,0.0016200000000000001,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.2777972574809165e-4,0.0010001032569873117,2.2632306138075365e-4,2.2632306138075365e-4,4.85044407229753e-4,6.879553294511047e-4
ALFREDA,35,0.02857,0.22857,0.71429,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.6483999574271293e-6,2.2324269991451037e-4,0,0,0,5.459654402920808e-6
ALFREDO,687,0.8064,0.10771000000000001,0.00728,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.374643747995239e-5,4.466041642327889e-5,0,0,0,0.00302478230743941
ALI,514,0.019459999999999998,0.72763,0.042800000000000005,0.009729999999999999,0.009729999999999999,0.00584,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.7056459404942142e-4,1.9644525348685098e-4,0.0011296659790599045,0.0011296659790599045,7.265621225415848e-4,5.461259621576198e-5
ALIA,30,0.06667,0.73333,0.03333,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.0033116984906293e-5,8.92876145321204e-6,0,0,0,1.0920400791321472e-5
ALICE,1923,0.04888,0.80135,0.06292,0.00208,0.00208,0.00312,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,7.027756327496265e-4,0.0010804449651297362,9.034761857472715e-4,9.034761857472715e-4,0.0014522141544760737,5.132126462063112e-4
ALICIA,1719,0.24375,0.66667,0.059340000000000004,0.00116,0.00116,0.0017499999999999998,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,5.226391735627407e-4,9.108735066158241e-4,4.504099297540625e-4,4.504099297540625e-4,7.281329970203222e-4,0.002287743704849079
ALICJA,31,0,1,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.4137638195268847e-5,0,0,0,0,0
ALIDA,34,0.23529,0.73529,0.02941,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.140125727781851e-5,8.929118639388783e-6,0,0,0,4.367865480449028e-5
ALINA,137,0.21167999999999998,0.72993,0.0219,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,4.56054714825337e-5,2.6791642152287306e-5,0,0,0,1.5833876816781625e-4
ALINE,58,0.01724,0.8103400000000001,0.10345,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.1434356020611007e-5,5.357881947736529e-5,0,0,0,5.459490605098828e-6
ALIREZA,73,0.0137,0.93151,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.101169835274408e-5,0,0,0,0,5.460473392030701e-6
ALISA,338,0.020710000000000003,0.8668600000000001,0.07396,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.3362288159778565e-4,2.2322778739163125e-4,0,0,0,3.8219382596487425e-5
ALISHA,213,0.03286,0.84977,0.10329,0.00469,0.00469,0.00469,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.254602555994318e-5,1.9645927304428828e-4,2.2564542713607338e-4,2.2564542713607338e-4,2.4179606749219354e-4,3.8215014654567984e-5
ALISON,1403,0.00784,0.96294,0.01283,0,0,7.099999999999999e-4,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.161295917814295e-4,1.607381550664354e-4,0,0,2.4110865862938703e-4,6.005658062704684e-5
